,open,high,low,close,volume,source,timeframe
2018-01-01 00:00:00,1.0998256211618787,1.0998399895358195,1.0997979102492847,1.0998189498925521,2799.0924148211875,Synthetic,M30
2018-01-01 00:30:00,1.0996839186731588,1.0997641868408699,1.0996615344138974,1.0997128606273836,3624.23781985553,Synthetic,M30
2018-01-01 01:00:00,1.0998432363796058,1.0999553172061616,1.0997843827769291,1.0998698499915454,2264.2599556018754,Synthetic,M30
2018-01-01 01:30:00,1.0999877396415205,1.1000040670828686,1.0999716810725635,1.099987874077716,911.6457140252578,Synthetic,M30
2018-01-01 02:00:00,1.0999782352765648,1.1000149904183851,1.0998574967075616,1.0999362435629734,1094.5984389184791,Synthetic,M30
2018-01-01 02:30:00,1.0997254658649789,1.099806605377742,1.0996957375548961,1.099751171466319,1507.0750271948873,Synthetic,M30
2018-01-01 03:00:00,1.0993613912936624,1.09958795391912,1.099302199013701,1.0994450764664105,2434.397786933857,Synthetic,M30
2018-01-01 03:30:00,1.0995639798249504,1.0995891684956212,1.0995029127982956,1.0995460406469584,4654.495933778376,Synthetic,M30
2018-01-01 04:00:00,1.099743290700713,1.099773235738873,1.099705942825368,1.0997395892821205,2140.534446842867,Synthetic,M30
2018-01-01 04:30:00,1.1000142918309352,1.1000935345331493,1.0999855660027882,1.1000395502679687,533.9927862999042,Synthetic,M30
2018-01-01 05:00:00,1.0998851653141535,1.0998878091378566,1.0998240180793761,1.0998559136086163,1041.6993906582215,Synthetic,M30
2018-01-01 05:30:00,1.0993905023946693,1.0994844959426198,1.0993604213054056,1.0994224586240127,2179.513707841231,Synthetic,M30
2018-01-01 06:00:00,1.0994554266352112,1.0994960021503895,1.0993912364663383,1.0994436193083639,4309.137620860535,Synthetic,M30
2018-01-01 06:30:00,1.0995893748349814,1.0995924065879281,1.0995253195001355,1.0995588630440318,2020.5399838158899,Synthetic,M30
2018-01-01 07:00:00,1.0996432570823478,1.0996586178288505,1.099606410460153,1.0996325141445018,1159.2337126518157,Synthetic,M30
2018-01-01 07:30:00,1.0998167991481618,1.0999600210122245,1.0997417407093597,1.099850880860792,4182.338857582085,Synthetic,M30
2018-01-01 08:00:00,1.099905401692523,1.1001042415711124,1.0998169926183605,1.0999606170947365,743.862311995288,Synthetic,M30
2018-01-01 08:30:00,1.1000188090981056,1.1000542439937429,1.099942921507082,1.0999985827504124,2152.9167186132577,Synthetic,M30
2018-01-01 09:00:00,1.100090627393585,1.1001675818095107,1.1000693239924786,1.1001184529009946,2345.425586931891,Synthetic,M30
2018-01-01 09:30:00,1.100226973701587,1.1002464916335881,1.100172085688807,1.1002092886611976,940.7265538167474,Synthetic,M30
2018-01-01 10:00:00,1.1006001860025243,1.1006350170295036,1.1005376275540213,1.1005863222917625,2116.2843575441857,Synthetic,M30
2018-01-01 10:30:00,1.1005812910614823,1.1006551120537982,1.100576594935209,1.1006158534945036,2772.7588765185646,Synthetic,M30
2018-01-01 11:00:00,1.1004239419367008,1.100531338005118,1.1003873186332627,1.1004593283191904,1577.4587594349414,Synthetic,M30
2018-01-01 11:30:00,1.1005918590765524,1.1006103166657675,1.1005210776215573,1.1005656971436624,695.2506407767753,Synthetic,M30
2018-01-01 12:00:00,1.1004249642383952,1.1004663794178446,1.1004188941007254,1.100442636759285,1110.743871562729,Synthetic,M30
2018-01-01 12:30:00,1.1013816347844003,1.1014125039662601,1.1013655164530491,1.1013890102096546,1921.846871724617,Synthetic,M30
2018-01-01 13:00:00,1.1029168921863552,1.1029648728233064,1.102902981627919,1.1029339272256127,3996.2564106772743,Synthetic,M30
2018-01-01 13:30:00,1.102753413728518,1.1029275074143547,1.102529253056678,1.1027283802355163,1875.9184136903164,Synthetic,M30
2018-01-01 14:00:00,1.102837031968313,1.1028682072984186,1.1027514040538062,1.1028098056761124,2599.3682642581743,Synthetic,M30
2018-01-01 14:30:00,1.1021527938944453,1.1023382196889469,1.102028187593232,1.1021832036410895,2260.7735657791413,Synthetic,M30
2018-01-01 15:00:00,1.1016979827664524,1.1017493310927795,1.101674293124052,1.1017118121084157,3064.3783324899514,Synthetic,M30
2018-01-01 15:30:00,1.100828905973783,1.1009542006798176,1.100660207307582,1.1008072039936998,3846.388081353019,Synthetic,M30
2018-01-01 16:00:00,1.1016350126359615,1.1016882054464587,1.1015995457105947,1.1016438755785267,3135.892410222763,Synthetic,M30
2018-01-01 16:30:00,1.1016960426781737,1.10182214229724,1.1016000397735728,1.1017110910354064,1543.7447252015606,Synthetic,M30
2018-01-01 17:00:00,1.1014917808224782,1.1015080092367457,1.1014710071460934,1.1014895081914196,3705.8723391250364,Synthetic,M30
2018-01-01 17:30:00,1.1014071472875613,1.1014908254555735,1.101388537311044,1.1014396813833087,3025.982112902859,Synthetic,M30
2018-01-01 18:00:00,1.1020948673271191,1.102108469246694,1.1020379955146622,1.1020732323806781,2695.771111448809,Synthetic,M30
2018-01-01 18:30:00,1.102578859396,1.1025811053513326,1.1025210152649734,1.102551060308153,796.2237428223065,Synthetic,M30
2018-01-01 19:00:00,1.1022610313880696,1.10232636025094,1.1021535429776048,1.1022399516142725,2116.8231256292715,Synthetic,M30
