trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,side,pnl,commission,slippage,duration_hours,is_winner
trade_1,EURUSD,2025-06-01 19:39:06.935492,2025-06-01 19:39:07.549068,1.1001299681978252,1.1002085076918149,2272.0,buy,-1.8215582696553412,2.0,0.0,0.0001704377777777778,False
trade_2,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:07.662884,-9.452503964679313e-05,1.3001017461048268,2272.0,sell,-2956.045928040244,2.0,0.0,0.00014257444444444443,False
trade_3,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:08.173086,0.004687681807528756,1.3004603992064752,2245.0,sell,-2911.0097505606345,2.0,0.0,0.00028429722222222226,False
trade_4,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:08.404414,0.004687681807528756,1.3004442577763384,2219.0,sell,-2877.2838420747885,2.0,0.0,0.000348555,False
trade_5,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:08.536118,1.300155851177253,1.299610800525772,2193.0,buy,-3.1952960786978926,2.0,0.0,7.414527777777778e-05,False
trade_6,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:09.048373,0.0016925542846208481,1.3000915413854865,2193.0,sell,-2849.3889787121984,2.0,0.0,0.0005274325,False
trade_7,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:10.023914,0.4235036071067184,1.3001933880768302,2167.0,sell,-1901.786755362232,2.0,0.0,0.0007984161111111111,False
trade_8,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:10.294536,1.2996752253422252,1.298995658092471,2149.0,buy,-3.4603900197216766,2.0,0.0,0.0005625947222222223,False
trade_9,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:10.444113,1.2996752253422252,1.299021160045766,2149.0,buy,-3.405586322090999,2.0,0.0,0.0006041438888888888,False
trade_10,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:10.831583,1.1006889722320454,1.099937071216958,2149.0,buy,-3.615835281422769,2.0,0.0,0.0003801461111111111,False
trade_11,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:11.313810,0.043285320697422365,1.3002353956236004,2149.0,sell,-2703.1857110163564,2.0,0.0,0.0011567205555555555,False
trade_12,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:11.479429,1.2992582807881192,1.298705445325588,2125.0,buy,-3.1747753578789375,2.0,0.0,0.0008917316666666666,False
trade_13,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:11.609952,1.2992582807881192,1.2988413939486065,112.0,buy,-2.046691326025421,2.0,0.0,0.0009279880555555555,False
trade_14,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:12.303405,1.2988413939486065,1.2994207227063623,870.9951750327691,sell,-2.5045925527630235,2.0,0.0,0.0011206138888888888,False
trade_15,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:12.528798,1.2994207227063623,1.298878848995621,1254.004824967231,buy,-2.6795122477926587,2.0,0.0,0.0011832230555555556,False
trade_16,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:12.694565,1.2994207227063623,1.2985179997624674,870.9951750327691,sell,-1.2137326714761396,2.0,0.0,0.0012292694444444444,False
trade_17,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:12.960828,0.21877358684804377,1.300210269979301,2125.0,sell,-2300.0529516539214,2.0,0.0,0.0016142255555555557,False
trade_18,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:13.312954,1.2985179997624674,1.2985713822116642,1254.004824967231,buy,-1.9330581511385982,2.0,0.0,0.0014010441666666665,False
trade_19,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:13.588949,0.0752079585439745,1.2999752311579138,2104.0,sell,-2578.9103415797285,2.0,0.0,0.0017887036111111111,False
trade_20,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:13.772143,0.0752079585439745,1.3001481884090331,2080.0,sell,-2549.875678119322,2.0,0.0,0.0018395908333333332,False
trade_21,USDJPY,2025-06-01 19:39:08.269195,2025-06-01 19:39:14.080878,0.5391105624515763,1.2990061062819338,2057.0,sell,-1565.1051336590454,2.0,0.0,0.001614356388888889,False
trade_22,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:14.521978,0.24668576011150167,1.2997839949112842,2043.0,sell,-2153.479693695956,2.0,0.0,0.002047878333333333,False
trade_23,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:14.680784,1.1004513343099038,1.1003918093120795,763.3601913679377,buy,-2.0454390137303764,2.0,0.0,0.001449368611111111,False
trade_24,GBPUSD,2025-06-01 19:39:07.149616,2025-06-01 19:39:14.957939,0.24668576011150167,1.3006658444651256,2023.0,sell,-2134.201710647381,2.0,0.0,0.002168978611111111,False
trade_25,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:15.101378,1.1003918093120795,1.101206401902762,1259.6398086320623,sell,-3.0260932550405473,2.0,0.0,0.0015662002777777778,False
trade_26,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:15.249006,1.1003918093120795,1.1002106457688556,744.3601913679377,buy,-2.1348509297029903,2.0,0.0,0.0016072080555555555,False
trade_27,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:15.327652,1.1002106457688556,1.100296759426989,1259.6398086320623,sell,-2.1084721918517375,2.0,0.0,0.0016290541666666666,False
trade_28,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:15.432671,1.1002106457688556,1.1001524503091062,744.3601913679377,buy,-2.0433183835557998,2.0,0.0,0.001658226111111111,False
trade_29,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:15.576462,1.1001524503091062,1.1005015680642116,1209.802933390824,sell,-2.4223636842253042,2.0,0.0,0.0016981680555555557,False
trade_30,EURUSD,2025-06-01 19:39:09.463057,2025-06-01 19:39:15.760504,1.1001524503091062,1.1002590685529074,794.1970666091761,buy,-1.9153241035260615,2.0,0.0,0.0017492908333333332,False
